country,country_cn,lat,lon,n_samples,地区/地理,语言,价值观,社会规范,关系结构,宗教/传统,社会经济
CYP,CYP,33.245729999999995,33.13827,1000,0.7555284725526576,0.7295,0.36177549520423313,0.47760189334855147,0.42405777116402116,0.6105682231888889,0.47309255001755
ECU,厄瓜多尔,-2.1766916666666667,-80.00974166666667,1200,0.826278819565482,0.9941666666666666,0.3433170244829234,0.4211794718235688,0.43459354404529854,0.621130926287037,0.4475907626572949
GRC,GRC,38.699749999999995,23.28408333333333,1200,0.5848883303321328,0.9725,0.37162685918632293,0.472840211912319,0.45120138888888883,0.5319467555370371,0.445670482982983
IDN,印尼,-4.9509375,111.37296874999998,3200,0.28937040793738794,0.304375,0.3134238257871734,0.46518534140214407,0.46370322357041105,0.6313863274236111,0.4012210924265951
JOR,约旦,31.97908561928512,35.87461346633417,1203,0.6822883363089549,0.9941812136325852,0.20904011728895117,0.5367131001437727,0.46022885324814333,0.6700388870416552,0.42884528190014476
LBY,LBY,31.84789297658863,15.603060200668894,1196,0.537690453721732,0.9707357859531772,0.24098244194241578,0.5022576146528576,0.46979998916140225,0.6983091825065031,0.45430638157357817
MAC,澳门,22.19642228739003,113.54469208211141,1023,0.5244205877548478,0.48093841642228735,0.4711679811241074,0.5411786102436892,0.4431178770348267,0.46788725451287067,0.44913799001042404
MDV,MDV,3.9100962463907605,73.3211645813282,1039,0.48469816278223726,0.9961501443695862,0.27008816257661605,0.4819035992598138,0.4672819614795071,0.6806721253128007,0.41319695200972445
NZL,新西兰,26.13999999999999,35.74,1057,0.6171779970266252,0.9583727530747398,0.4292417137360415,0.5999626232681331,0.4459426641545847,0.49463923033743307,0.49303783595751044
NGA,尼日利亚,8.642093775262733,6.891778496362166,1237,0.41978392742037646,0.43007275666936134,0.3016160885352282,0.4910819809759139,0.48570446864837563,0.6470636888799065,0.40651426224705406
PHL,菲律宾,11.9539,122.53815,1200,0.46282407432077177,0.6129166666666667,0.37249045265565106,0.5317876341157498,0.46107788334350835,0.6459726896574074,0.4161929200973319
SRB,SRB,26.139999999999993,35.74,1046,0.5680824911226441,0.9627151051625239,0.4360884275138217,0.4928316489523681,0.47961435981870976,0.47134320423836834,0.47884767505704406
THA,泰国,14.672920000000001,101.20954666666667,1500,0.40603340105060115,0.42133333333333334,0.3998312141409354,0.5333530854739291,0.46444810405643727,0.5701379205037037,0.42973155865693174
