country,country_cn,country_label,n,main_prototype_id,main_prototype_name,main_prototype_prob,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13
RUS,俄罗斯,RUS(俄罗斯),1810,13,世俗自主型,0.2125,0.0499,0.14,0.0236,0.0103,0.0195,0.0013,0.1352,0.0748,0.1085,0.0,0.0,0.0844,0.1399,0.2125
KOR,韩国,KOR(韩国),1245,13,世俗自主型,0.2917,0.0047,0.1742,0.0038,0.026,0.0023,0.0001,0.0714,0.2838,0.017,0.0,0.0,0.0619,0.0631,0.2917
MNG,蒙古,MNG(蒙古),1638,13,世俗自主型,0.4688,0.0114,0.1307,0.0013,0.0258,0.0168,0.0,0.13,0.0748,0.0421,0.0,0.0,0.0374,0.0608,0.4688
VNM,越南,VNM(越南),1200,13,世俗自主型,0.3258,0.0083,0.1238,0.0149,0.113,0.0052,0.0001,0.1827,0.049,0.0223,0.0,0.0,0.036,0.119,0.3258
SVK,斯洛伐克,SVK(斯洛伐克),1200,13,世俗自主型,0.2544,0.044,0.0,0.0,0.0336,0.0959,0.0,0.0,0.1606,0.0505,0.0,0.0,0.1789,0.1822,0.2544
UKR,乌克兰,UKR(乌克兰),1289,13,世俗自主型,0.2002,0.0538,0.0291,0.0463,0.0415,0.0283,0.0002,0.1582,0.0547,0.1055,0.0,0.0,0.1791,0.1033,0.2002
JPN,日本,JPN(日本),1353,1,传统-世俗混合型,0.9986,0.0,0.9986,0.0,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
URY,乌拉圭,URY(乌拉圭),1000,1,传统-世俗混合型,0.493,0.0049,0.493,0.0308,0.0015,0.0428,0.0,0.03,0.037,0.1618,0.0,0.0,0.0211,0.1643,0.0131
USA,美国,USA(美国),2596,1,传统-世俗混合型,0.1787,0.036,0.1787,0.0267,0.0015,0.0173,0.0001,0.0437,0.1494,0.0424,0.1256,0.0,0.1471,0.1322,0.0993
NLD,荷兰,NLD(荷兰),2145,7,自由理性型,0.5817,0.0614,0.178,0.0044,0.0095,0.0056,0.0004,0.0094,0.5817,0.0115,0.0,0.0,0.0345,0.0517,0.0517
CAN,加拿大,CAN(加拿大),4018,7,自由理性型,0.3787,0.0825,0.1369,0.006,0.0223,0.0111,0.0001,0.0334,0.3787,0.0245,0.0,0.0,0.0969,0.0364,0.1713
AUS,澳大利亚,AUS(澳大利亚),1813,7,自由理性型,0.3735,0.1097,0.2133,0.0059,0.0131,0.0051,0.0021,0.0085,0.3735,0.0122,0.0,0.0,0.1014,0.0959,0.0592
CZE,捷克,CZE(捷克),1200,7,自由理性型,0.4068,0.01,0.124,0.006,0.0104,0.0053,0.0,0.0335,0.4068,0.021,0.0,0.0,0.0209,0.0417,0.3204
GBR,英国,GBR(英国),2609,7,自由理性型,0.4218,0.0743,0.2423,0.0037,0.009,0.0068,0.0003,0.0082,0.4218,0.0141,0.0,0.0,0.0705,0.092,0.057
DEU,德国,DEU(德国),1528,7,自由理性型,0.3209,0.1022,0.2922,0.0035,0.0097,0.0069,0.0002,0.0076,0.3209,0.0206,0.0,0.0,0.0603,0.1329,0.043
NZL,新西兰,NZL(新西兰),1057,7,自由理性型,0.4941,0.2151,0.0,0.0,0.0381,0.0237,0.0,0.0,0.4941,0.0165,0.0,0.0,0.0931,0.0793,0.0401
CHN,中国,CHN(中国),3036,5,世俗理性型,0.7977,0.0604,0.0,0.0,0.0509,0.0107,0.7977,0.0,0.0181,0.0,0.0,0.0,0.0308,0.0,0.0314
SRB,塞尔维亚,SRB(塞尔维亚),1046,12,封闭虔诚型,0.2104,0.0723,0.1497,0.0115,0.0086,0.0169,0.0015,0.1273,0.0681,0.1064,0.0,0.0,0.0556,0.2104,0.1716
GRC,希腊,GRC(希腊),1200,12,封闭虔诚型,0.3682,0.0692,0.1584,0.0631,0.0015,0.0099,0.0,0.0649,0.0361,0.0874,0.0,0.0,0.0908,0.3682,0.0505
ARM,亚美尼亚,ARM(亚美尼亚),1223,12,封闭虔诚型,0.516,0.0699,0.0525,0.0985,0.0136,0.0189,0.0007,0.0334,0.0132,0.0986,0.0,0.0,0.076,0.516,0.0087
KGZ,吉尔吉斯斯坦,KGZ(吉尔吉斯斯坦),1200,12,封闭虔诚型,0.3294,0.0225,0.0036,0.1691,0.0241,0.0092,0.0,0.102,0.0,0.0673,0.0083,0.0,0.2426,0.3294,0.0219
ARG,阿根廷,ARG(阿根廷),1003,12,封闭虔诚型,0.2397,0.0364,0.1975,0.0178,0.001,0.0268,0.0003,0.0702,0.0708,0.0761,0.0,0.0,0.1408,0.2397,0.1227
TUR,土耳其,TUR(土耳其),2415,12,封闭虔诚型,0.531,0.0118,0.0539,0.0769,0.0114,0.0055,0.0,0.0887,0.0025,0.057,0.0,0.0,0.093,0.531,0.0683
CHL,智利,CHL(智利),1000,12,封闭虔诚型,0.2558,0.0184,0.1381,0.0202,0.0053,0.016,0.0,0.1112,0.0708,0.0963,0.0,0.0,0.0763,0.2558,0.1915
PER,秘鲁,PER(秘鲁),1400,12,封闭虔诚型,0.3034,0.0031,0.0178,0.1491,0.0005,0.0355,0.0,0.167,0.0085,0.2081,0.0,0.0,0.0672,0.3034,0.0398
ECU,厄瓜多尔,ECU(厄瓜多尔),1200,12,封闭虔诚型,0.2377,0.0059,0.0351,0.1691,0.0005,0.0605,0.0,0.2155,0.0086,0.1708,0.0008,0.0,0.0637,0.2377,0.0315
