country,prob,n,type
MNG,0.4376,1638,世俗自主型
VNM,0.2931,1200,世俗自主型
CZE,0.281,1200,世俗自主型
SVK,0.2326,1200,世俗自主型
KOR,0.2104,1245,世俗自主型
UKR,0.1731,1289,世俗自主型
RUS,0.1616,1810,世俗自主型
CHL,0.1613,1000,世俗自主型
CAN,0.1572,4018,世俗自主型
THA,0.1367,1500,世俗自主型
JPN,0.9985,1353,个人表达型
NLD,0.7336,2145,个人表达型
GBR,0.6106,2609,个人表达型
AUS,0.568,1813,个人表达型
CZE,0.5599,1200,个人表达型
DEU,0.5309,1528,个人表达型
KOR,0.5115,1245,个人表达型
CAN,0.4884,4018,个人表达型
NZL,0.4587,1057,个人表达型
AND,0.3997,1004,个人表达型
CHN,0.8527,3036,传统宗教型
LBY,0.7391,1196,传统宗教型
EGY,0.7219,1200,传统宗教型
MDV,0.6971,1039,传统宗教型
TUR,0.6356,2415,传统宗教型
ARM,0.5911,1223,传统宗教型
BGD,0.5184,1200,传统宗教型
GRC,0.4739,1200,传统宗教型
ROU,0.4623,1257,传统宗教型
MMR,0.4296,1200,传统宗教型
MYS,0.6976,1313,开放世界型
HKG,0.5951,2075,开放世界型
AND,0.2917,1004,开放世界型
USA,0.1402,2596,开放世界型
NZL,0.1359,1057,开放世界型
SGP,0.1065,2012,开放世界型
ARM,0.0657,1223,开放世界型
CYP,0.056,1000,开放世界型
KAZ,0.0516,1276,开放世界型
AUS,0.0503,1813,开放世界型
TUN,0.9717,1208,生存焦虑型
IDN,0.9691,3200,生存焦虑型
KEN,0.9639,1266,生存焦虑型
PAK,0.9536,1995,生存焦虑型
PHL,0.8766,1200,生存焦虑型
NGA,0.8002,1237,生存焦虑型
TJK,0.7741,1200,生存焦虑型
LBN,0.7118,1200,生存焦虑型
BOL,0.6878,2067,生存焦虑型
IRN,0.6753,1499,生存焦虑型
MAC,1.0,1023,集体权威型
TWN,1.0,1223,集体权威型
PRI,1.0,1127,集体权威型
THA,0.2065,1500,集体权威型
SGP,0.0865,2012,集体权威型
HKG,0.0738,2075,集体权威型
AND,0.0508,1004,集体权威型
NZL,0.0492,1057,集体权威型
CHN,0.0406,3036,集体权威型
UKR,0.0372,1289,集体权威型
