country,n,main_type,main_type_prob,T_世俗自主型,T_个人表达型,T_传统宗教型,T_开放世界型,T_生存焦虑型,T_集体权威型
CYP,1000,生存焦虑型,0.5213,0.048,0.0562,0.3106,0.056,0.5213,0.008
ECU,1200,生存焦虑型,0.591,0.04,0.0407,0.3218,0.0065,0.591,0.0
GRC,1200,传统宗教型,0.4739,0.04,0.1313,0.4739,0.039,0.3159,0.0
IDN,3200,生存焦虑型,0.9691,0.0122,0.0,0.0,0.0019,0.9691,0.0169
JOR,1203,生存焦虑型,0.5371,0.0,0.0,0.4273,0.0324,0.5371,0.0033
LBY,1196,传统宗教型,0.7391,0.0083,0.0,0.7391,0.0033,0.2492,0.0
MAC,1023,集体权威型,1.0,0.0,0.0,0.0,0.0,0.0,1.0
MDV,1039,传统宗教型,0.6971,0.0094,0.0043,0.6971,0.0036,0.2856,0.0
NZL,1057,个人表达型,0.4587,0.0402,0.4587,0.15,0.1359,0.1661,0.0492
NGA,1237,生存焦虑型,0.8002,0.037,0.0,0.1479,0.0108,0.8002,0.004
PHL,1200,生存焦虑型,0.8766,0.0128,0.0,0.1097,0.0,0.8766,0.0008
SRB,1046,生存焦虑型,0.335,0.1352,0.1845,0.3143,0.031,0.335,0.0
THA,1500,生存焦虑型,0.2739,0.1367,0.2329,0.1379,0.0121,0.2739,0.2065
TUN,1208,生存焦虑型,0.9717,0.0101,0.0,0.0,0.0174,0.9717,0.0008
GBR,2609,个人表达型,0.6106,0.056,0.6106,0.1629,0.0352,0.1327,0.0027
UZB,1250,生存焦虑型,0.5525,0.0631,0.0001,0.3392,0.0371,0.5525,0.008
NIR,447,传统宗教型,0.36,0.0529,0.3532,0.36,0.021,0.2084,0.0045
CHN,3036,传统宗教型,0.8527,0.0206,0.0054,0.8527,0.0359,0.0449,0.0406
SGP,2012,生存焦虑型,0.5293,0.0648,0.0946,0.1183,0.1065,0.5293,0.0865
VNM,1200,世俗自主型,0.2931,0.2931,0.2625,0.1458,0.0031,0.2918,0.0037
AUS,1813,个人表达型,0.568,0.0551,0.568,0.1448,0.0503,0.1768,0.005
CAN,4018,个人表达型,0.4884,0.1572,0.4884,0.0612,0.0374,0.2291,0.0266
ETH,1230,生存焦虑型,0.6349,0.0044,0.0,0.3567,0.0032,0.6349,0.0008
KEN,1266,生存焦虑型,0.9639,0.0221,0.0,0.0108,0.0025,0.9639,0.0008
NLD,2145,个人表达型,0.7336,0.0537,0.7336,0.0919,0.0274,0.0873,0.0061
ZWE,1215,生存焦虑型,0.6369,0.0082,0.0008,0.3449,0.0084,0.6369,0.0008
AND,1004,个人表达型,0.3997,0.0,0.3997,0.0,0.2917,0.2578,0.0508
ARG,1003,生存焦虑型,0.3586,0.092,0.2263,0.3178,0.0053,0.3586,0.0
BGD,1200,传统宗教型,0.5184,0.005,0.0003,0.5184,0.0008,0.4739,0.0015
ARM,1223,传统宗教型,0.5911,0.0098,0.0827,0.5911,0.0657,0.2491,0.0016
BOL,2067,生存焦虑型,0.6878,0.0546,0.0278,0.2282,0.0007,0.6878,0.001
BRA,1762,生存焦虑型,0.5772,0.063,0.0374,0.311,0.0114,0.5772,0.0
MMR,1200,生存焦虑型,0.5243,0.025,0.0066,0.4296,0.0089,0.5243,0.0057
CHL,1000,传统宗教型,0.3757,0.1613,0.1357,0.3757,0.0073,0.3201,0.0
TWN,1223,集体权威型,1.0,0.0,0.0,0.0,0.0,0.0,1.0
COL,1520,生存焦虑型,0.5345,0.0413,0.0522,0.3476,0.0244,0.5345,0.0
CZE,1200,个人表达型,0.5599,0.281,0.5599,0.0558,0.0041,0.099,0.0
DEU,1528,个人表达型,0.5309,0.0451,0.5309,0.2441,0.0478,0.1282,0.0039
HKG,2075,开放世界型,0.5951,0.0449,0.1612,0.0215,0.5951,0.1036,0.0738
IRN,1499,生存焦虑型,0.6753,0.0,0.0171,0.2901,0.0162,0.6753,0.0013
JPN,1353,个人表达型,0.9985,0.0,0.9985,0.0,0.0,0.0015,0.0
KAZ,1276,生存焦虑型,0.6315,0.0829,0.0389,0.1779,0.0516,0.6315,0.0172
KOR,1245,个人表达型,0.5115,0.2104,0.5115,0.1146,0.0,0.1635,0.0
KGZ,1200,生存焦虑型,0.5182,0.0211,0.0055,0.4162,0.0179,0.5182,0.0212
LBN,1200,生存焦虑型,0.7118,0.0,0.0292,0.2542,0.0047,0.7118,0.0
MEX,1741,生存焦虑型,0.6124,0.0562,0.0407,0.2906,0.0,0.6124,0.0
PAK,1995,生存焦虑型,0.9536,0.0224,0.0,0.0,0.0145,0.9536,0.0095
PER,1400,生存焦虑型,0.5352,0.0347,0.021,0.4071,0.0021,0.5352,0.0
PRI,1127,集体权威型,1.0,0.0,0.0,0.0,0.0,0.0,1.0
ROU,1257,传统宗教型,0.4623,0.038,0.0469,0.4623,0.0008,0.4496,0.0024
RUS,1810,生存焦虑型,0.4314,0.1616,0.2077,0.184,0.0147,0.4314,0.0006
SVK,1200,生存焦虑型,0.3209,0.2326,0.1816,0.2158,0.0207,0.3209,0.0284
TUR,2415,传统宗教型,0.6356,0.0514,0.0395,0.6356,0.0027,0.2705,0.0003
UKR,1289,生存焦虑型,0.5466,0.1731,0.0781,0.1241,0.0408,0.5466,0.0372
EGY,1200,传统宗教型,0.7219,0.0016,0.0,0.7219,0.0008,0.2757,0.0
USA,2596,生存焦虑型,0.3202,0.0896,0.2633,0.1843,0.1402,0.3202,0.0023
URY,1000,个人表达型,0.3966,0.0118,0.3966,0.2967,0.0007,0.2941,0.0
IND,1692,生存焦虑型,0.5941,0.0621,0.011,0.2929,0.0193,0.5941,0.0206
MNG,1638,世俗自主型,0.4376,0.4376,0.1671,0.1007,0.0033,0.2894,0.0019
NIC,1200,生存焦虑型,0.5802,0.0528,0.0707,0.292,0.0036,0.5802,0.0007
MAR,1200,生存焦虑型,0.666,0.0344,0.0246,0.2575,0.0175,0.666,0.0
VEN,1190,生存焦虑型,0.5908,0.0,0.0278,0.3521,0.0175,0.5908,0.0118
IRQ,1200,生存焦虑型,0.636,0.0174,0.0008,0.3458,0.0,0.636,0.0
TJK,1200,生存焦虑型,0.7741,0.0358,0.0006,0.1863,0.0033,0.7741,0.0
