维度,子维度,变量,Label,类型,有效N,缺失数,缺失率(%),类别数,均值,标准差,最小值,最大值,众数Top3
维度1 地区/地理,国家(ISO-3),B_COUNTRY_ALPHA,ISO 3166-1 alpha-3 country code,分类,97220,0,0.0,66.0,,,,,CAN=4018; IDN=3200; CHN=3036
维度1 地区/地理,国家(数字),B_COUNTRY,ISO 3166-1 numeric country code,分类,97220,0,0.0,66.0,,,,,124=4018; 360=3200; 156=3036
维度1 地区/地理,国内区域 ISO,N_REGION_ISO,Region ISO 3166-2,分类,94729,2491,2.562,1303.0,,,,,360001=1700; 586004=1139; 446001=1023
维度1 地区/地理,国内区域 WVS,N_REGION_WVS,Region country specific,分类,89157,8063,8.294,941.0,,,,,360021=1700; 586010=1139; 446001=1023
维度1 地区/地理,NUTS-2 区域,N_REGION_NUTS2,Region NUTS-2,分类,13786,83434,85.82,122.0,,,,,6430101=489; 3000001=430; 5280303=413
维度1 地区/地理,城乡,H_URBRURAL,Urban-Rural,二值,97183,37,0.038,,1.321825833736353,0.4671789938592337,1.0,2.0,
维度1 地区/地理,城镇规模,G_TOWNSIZE,Settlement size_8 groups,分类,95941,1279,1.316,8.0,,,,,8=24598; 7=16761; 5=11275
维度1 地区/地理,城镇规模(5组),G_TOWNSIZE2,Settlement size_5 groups,分类,95941,1279,1.316,5.0,,,,,5=24409; 3=20723; 1=19264
维度1 地区/地理,定居点类型,H_SETTLEMENT,Settlement type,分类,97008,212,0.218,5.0,,,,,5=25998; 1=19685; 2=18921
维度1 地区/地理,经度,O1_LONGITUDE,Geographical Coordinates - Longitude,连续/有序,52959,44261,45.527,,64.24041201684321,37.835669001383316,0.0,156.89,
维度1 地区/地理,纬度,O2_LATITUDE,Geographical Coordinates - Latitude,连续/有序,60085,37135,38.197,,30.2572274278106,16.25285489540638,0.0,100.35,
维度2 语言,访谈语言,S_INTLANGUAGE,Language in which interview was conducted,分类,97220,0,0.0,53.0,,,,,1270=16190; 1240=15250; 170=8407
维度2 语言,访谈语言 ISO,LNGE_ISO,Language in which interview was conducted  (ISO 639-1 Alpha 2 digit),分类,97220,0,0.0,52.0,,,,,es=16190; en=15248; ar=8407
维度2 语言,家庭语言,Q272,Language at home,分类,94500,2720,2.798,169.0,,,,,1270=15659; 1240=12003; 170=6844
维度3 价值观,世俗-传统(主轴),SACSECVAL,SACSECVAL.- Welzel Overall,连续/有序,96740,480,0.494,,0.36571446899937976,0.17793387088594234,0.0,1.0,
维度3 价值观,生存-自我表达(主轴),RESEMAVAL,RESEMAVAL.- Welzel,连续/有序,96472,748,0.769,,0.4355950613338585,0.1816390727097745,0.0,1.0,
维度3 价值观,权威服从,I_AUTHORITY,AUTHORITY - Welzel,连续/有序,94496,2724,2.802,,0.2878111242803928,0.37415302312410503,0.0,1.0,
维度3 价值观,民族主义,I_NATIONALISM,NATIONALISM - Welzel,连续/有序,94132,3088,3.176,,0.1809684273148345,0.24757659854041228,0.0,1.0,
维度3 价值观,虔诚度,I_DEVOUT,DEVOUT- Welzel defiance - 3:,连续/有序,95544,1676,1.724,,0.21531587540818892,0.24648179262417344,0.0,1.0,
维度3 价值观,自主性(合成),AUTONOMY,AUTONOMY.- Wezel,连续/有序,96006,1214,1.249,,0.44550320838280943,0.2999862636787506,0.0,1.0,
维度3 价值观,平等观(合成),EQUALITY,Emancipative Values-2:,连续/有序,96342,878,0.903,,0.5762339854165368,0.25777073786802285,0.0,1.0,
维度3 价值观,选择自由(合成),CHOICE,CHOICE.- Welzel choice sub-,连续/有序,95255,1965,2.021,,0.3532754715343026,0.30308097135818224,0.0,1.0,
维度3 价值观,发声倾向(合成),VOICE,VOICE.- Welzel voice sub-,连续/有序,95206,2014,2.072,,0.36756243409028844,0.28461790650678065,0.0,1.0,
维度3 价值观,认识论怀疑,DEFIANCE,DEFIANCE.- Welzel defiance,连续/有序,96653,567,0.583,,0.23289385570028864,0.19939381330142888,0.0,1.0,
维度3 价值观,不信教,DISBELIEF,DISBELIEF.- Welzel disbelief,连续/有序,96520,700,0.72,,0.4167159008495649,0.3371865547852445,0.0,1.014,
维度3 价值观,相对主义,RELATIVISM,RELATIVISM.- Welzel,连续/有序,96257,963,0.991,,0.38799480757763066,0.4035295875419285,0.0,1.0,
维度3 价值观,怀疑主义,SCEPTICISM,SCEPTICISM.- Welzel,连续/有序,94837,2383,2.451,,0.42898394861710104,0.25464644881784587,0.0,1.0,
维度3 价值观,信任军队,I_TRUSTARMY,TRUSTARMY- Welzel,连续/有序,92897,4323,4.447,,0.36730260395922365,0.310110313372376,0.0,1.0,
维度3 价值观,信任警察,I_TRUSTPOLICE,TRUSTPOLICE- Welzel,连续/有序,94808,2412,2.481,,0.4456778963800524,0.31139568863688305,0.0,1.0,
维度3 价值观,信任法院,I_TRUSTCOURTS,TRUSTCOURTS- Welzel,连续/有序,93709,3511,3.611,,0.4705977013947432,0.3127381087616256,0.0,1.0,
维度3 价值观,规范1,I_NORM1,NORM1 - Welzel relativism- 1:,连续/有序,93681,3539,3.64,,0.4841109723423106,0.4997501423355746,0.0,1.0,
维度3 价值观,规范2,I_NORM2,NORM2 - Welzel relativism- 2:,连续/有序,95941,1279,1.316,,0.3709675738214111,0.4830663155824335,0.0,1.0,
维度3 价值观,规范3,I_NORM3,NORM3 - Welzel relativism- 3:,连续/有序,96026,1194,1.228,,0.30821860746047947,0.46175980545945705,0.0,1.0,
维度3 价值观,后物质主义12项,Y001,Post-Materialist index 12-item Y001_1:,连续/有序,91274,5946,6.116,,2.064399500405373,1.1984027170806764,0.0,5.0,
维度3 价值观,后物质主义4项,Y002,Post-Materialist index 4-item,连续/有序,93417,3803,3.912,,1.81413447231232,0.613130783204596,1.0,3.0,
维度3 价值观,自主指数,Y003,Autonomy Index,连续/有序,66552,30668,31.545,,0.7266949152542372,0.7016494626725535,0.0,2.0,
维度4 社会规范,信任半径-通用信任,Q57P,Most people can be trusted,连续/有序,95883,1337,1.375,,1.2426603256051647,0.4286936069906679,1.0,2.0,
维度4 社会规范,信任半径-信任家人,Q58P,How much you trust: Your family,连续/有序,96888,332,0.341,,3.727086945751796,0.5656835366991295,1.0,4.0,
维度4 社会规范,信任半径-信任邻里,Q59P,Trust: Your neighborhood,连续/有序,96393,827,0.851,,2.8179535858412956,0.7977441007657082,1.0,4.0,
维度4 社会规范,信任半径-信任熟人,Q60P,Trust: People you know personally,连续/有序,96635,585,0.602,,2.941563615667201,0.7963000006381619,1.0,4.0,
维度4 社会规范,信任半径-信任陌生人,Q61P,Trust: People you meet for the first time,连续/有序,95859,1361,1.4,,1.9907363940788032,0.8105622373538436,1.0,4.0,
维度4 社会规范,信任半径-信任异教徒,Q62P,Trust: People of another religion,连续/有序,93144,4076,4.193,,2.3151679120501587,0.8680603526841708,1.0,4.0,
维度4 社会规范,信任半径-信任外国人,Q63P,Trust: People of another nationality,连续/有序,93142,4078,4.195,,2.2103240213867,0.8751636339502759,1.0,4.0,
维度4 社会规范,机构信任-宗教组织,Q64P,Confidence: Churches,连续/有序,95184,2036,2.094,,2.8063960329467137,1.0012036193625484,1.0,4.0,
维度4 社会规范,机构信任-军队,Q65P,Confidence: Armed Forces,连续/有序,92897,4323,4.447,,2.889738097032197,0.9340876140300917,1.0,4.0,
维度4 社会规范,机构信任-报刊,Q66P,Confidence: The Press,连续/有序,95010,2210,2.273,,2.292127144511104,0.8722032866430263,1.0,4.0,
维度4 社会规范,机构信任-电视,Q67P,Confidence: Television,连续/有序,95772,1448,1.489,,2.3661926241490208,0.868782095521782,1.0,4.0,
维度4 社会规范,机构信任-工会,Q68P,Confidence: Labor Unions,连续/有序,89965,7255,7.462,,2.295136997721336,0.8861890590503233,1.0,4.0,
